sw krw krn krwf krnf vw vn force pw pn wet peff
0.2144422 0.33271836 24.311554 0.029898235 17.383518 8.1352172e-06 0.00059443601 5.7802008e-06 0.32378947 0.33591063 1556677.2 0.04057738
0.21441781 0.28282488 24.161378 -0.019126244 17.248594 6.9152837e-06 0.00059076409 5.7802008e-06 0.32377643 0.33591461 1556024.2 0.040909495
0.21437042 0.31600399 24.201126 0.0094235772 17.272819 7.7265382e-06 0.00059173595 5.7802008e-06 0.32376761 0.33591781 1555485.1 0.040787809
0.21434541 0.19250686 24.435629 -0.10641031 17.461211 4.7069393e-06 0.00059746975 5.7802008e-06 0.32374927 0.33592212 1554915.1 0.040603966
0.21431855 0.2698094 24.208124 -0.024294796 17.277942 6.5970453e-06 0.00059190706 5.7802008e-06 0.32374723 0.33592415 1554315.2 0.040853122
0.21430574 0.2298487 24.040778 -0.028328783 17.140131 5.6199758e-06 0.00058781534 5.7802008e-06 0.32372572 0.33592906 1553712.1 0.041202067
0.21430188 0.24455505 24.220482 -0.0042588573 17.27505 5.9795573e-06 0.00059220924 5.7802008e-06 0.32372516 0.33593052 1553285.1 0.040874656
0.21428536 0.26936512 24.378249 0.010266813 17.398192 6.5861824e-06 0.00059606675 5.7802008e-06 0.3237231 0.33593232 1552845.5 0.040571878
0.21428428 0.28318919 24.308186 0.027657584 17.343546 6.9241913e-06 0.00059435366 5.7802008e-06 0.32372404 0.33593329 1552486.4 0.040664663
0.21426514 0.28466405 24.163761 0.032280997 17.234129 6.9602527e-06 0.00059082235 5.7802008e-06 0.32371809 0.33593578 1552093.3 0.04090243
0.21424754 0.3213705 24.094542 0.063714809 17.182291 7.8577535e-06 0.00058912989 5.7802008e-06 0.32371549 0.33593718 1551704.4 0.040956897
0.21425202 0.33025725 24.097844 0.061032542 17.190429 8.0750413e-06 0.00058921064 5.7802008e-06 0.32371173 0.33593868 1551371.3 0.04093646
0.21426329 0.32261535 24.033246 0.058375757 17.106918 7.888191e-06 0.00058763116 5.7802008e-06 0.32369343 0.33594308 1550959.1 0.041057879
0.21425773 0.33096562 24.005902 0.045441335 17.101108 8.0923613e-06 0.00058696258 5.7802008e-06 0.32368347 0.33594581 1550605.8 0.041089923
0.21426282 0.34866645 24.085834 0.05269575 17.163162 8.5251602e-06 0.00058891698 5.7802008e-06 0.32367265 0.33594826 1550286.6 0.040925739
0.21424862 0.34963919 24.146855 0.072496442 17.212436 8.5489443e-06 0.00059040899 5.7802008e-06 0.32366296 0.33595085 1549883.4 0.040822168
0.21423766 0.31778682 24.163205 0.053103468 17.225448 7.7701297e-06 0.00059080876 5.7802008e-06 0.32366469 0.33595125 1549665.3 0.040848018
0.21423426 0.31836576 24.226279 0.052204737 17.268453 7.7842852e-06 0.00059235098 5.7802008e-06 0.32366182 0.33595244 1549458.8 0.040742084
0.2142426 0.31214052 24.294495 0.056956922 17.345267 7.6320735e-06 0.00059401891 5.7802008e-06 0.32365017 0.33595529 1549132.6 0.040639444
0.21422917 0.26394696 24.187061 0.01820916 17.252943 6.4537041e-06 0.00059139205 5.7802008e-06 0.32365156 0.3359557 1548919.4 0.04089811
0.21422824 0.25588368 24.216799 0.017139085 17.276756 6.2565509e-06 0.00059211917 5.7802008e-06 0.32364896 0.33595716 1548670.7 0.040861887
0.21422284 0.27108945 24.225807 0.021228202 17.282794 6.6283436e-06 0.00059233942 5.7802008e-06 0.32364886 0.33595745 1548469.2 0.040821498
0.21422485 0.28200027 24.25001 0.029868237 17.303963 6.8951214e-06 0.00059293121 5.7802008e-06 0.32364972 0.33595763 1548319.3 0.040763068
0.21422299 0.28894096 24.267858 0.033855998 17.319154 7.0648265e-06 0.00059336761 5.7802008e-06 0.32365052 0.33595786 1548191.3 0.040721919
0.21422253 0.28380006 24.2817 0.038489672 17.327646 6.9391277e-06 0.00059370605 5.7802008e-06 0.32365092 0.33595815 1548075 0.040707496
0.21421929 0.27867057 24.282063 0.04213008 17.325471 6.8137076e-06 0.00059371492 5.7802008e-06 0.32365084 0.33595853 1547963.9 0.040715397
0.22101724 0.37097744 23.909441 0.091542398 17.098783 9.6482304e-06 0.00062182702 6.1482385e-06 0.32397316 0.3359741 1537091.5 0.041185452
0.22826395 0.47269579 23.592188 0.16876374 16.856015 1.229368e-05 0.00061357604 6.1482385e-06 0.32426526 0.33600001 1524928.5 0.041554325
0.23561024 0.87551189 23.545317 0.4851086 16.747131 2.2769957e-05 0.00061235704 6.1482385e-06 0.32450413 0.33603639 1511788.6 0.040948651
0.24299619 0.89042008 23.322206 0.47469162 16.532887 2.3157684e-05 0.00060655446 6.1482385e-06 0.32475138 0.33606914 1498395.7 0.041300766
0.25039126 1.378689 22.908419 0.89244443 16.211421 3.5856382e-05 0.00059579285 6.1482385e-06 0.32494002 0.33611588 1484556.8 0.041174108
0.25777181 1.1733869 22.382889 0.7027157 15.8553 3.0516969e-05 0.00058212507 6.1482385e-06 0.32509734 0.33617003 1469829.7 0.042451533
0.26515422 1.6807379 21.259607 1.1339429 15.003772 4.3711948e-05 0.00055291122 6.1482385e-06 0.32520263 0.33623543 1454454.6 0.043591324
0.26715952 1.6122598 21.048997 1.0910075 14.859589 4.1930999e-05 0.00054743375 6.1482385e-06 0.32518722 0.33627343 1447879.4 0.044128179
0.2666524 1.2630457 20.670228 0.76925978 14.601087 3.2848779e-05 0.00053758289 6.1482385e-06 0.32508187 0.336302 1446692.4 0.045592829
0.2664247 1.0600077 20.40335 0.61269696 14.390559 2.7568249e-05 0.00053064204 6.1482385e-06 0.32503275 0.33631611 1445624 0.046591032
0.26627141 1.0997716 20.239913 0.63295894 14.261662 2.8602412e-05 0.00052639143 6.1482385e-06 0.32499594 0.33632787 1444748.9 0.046861049
0.26616736 0.81560692 19.606884 0.42832508 13.791069 2.1211973e-05 0.00050992787 6.1482385e-06 0.3249504 0.33634169 1443923.5 0.048965624
0.26607875 0.32770991 19.337155 0.035365307 13.619092 8.5229461e-06 0.00050291287 6.1482385e-06 0.32489594 0.33635743 1443108.9 0.050852116
0.26604634 0.47570838 20.182818 0.18500701 14.297357 1.237203e-05 0.00052490652 6.1482385e-06 0.32488094 0.33636338 1442373.7 0.048406164
0.26601932 0.61081747 20.448055 0.31597854 14.520373 1.5885893e-05 0.0005318047 6.1482385e-06 0.32486906 0.33636845 1441744.1 0.047485924
0.2659869 0.66221183 20.544657 0.37372317 14.602757 1.7222536e-05 0.00053431708 6.1482385e-06 0.32486692 0.33637113 1441250.3 0.047154534
0.26598181 0.71586034 20.53709 0.42911771 14.593839 1.8617805e-05 0.0005341203 6.1482385e-06 0.32485948 0.33637517 1440799.3 0.04705229
0.26595788 0.604699 20.533303 0.34373949 14.610622 1.5726766e-05 0.00053402181 6.1482385e-06 0.32485607 0.33637793 1440418.9 0.04730816
0.26595448 0.53682743 20.518358 0.29703344 14.600367 1.396159e-05 0.00053363311 6.1482385e-06 0.32485026 0.336381 1440060.1 0.047494239
0.26595587 0.39873429 20.693534 0.21519428 14.756441 1.0370119e-05 0.00053818903 6.1482385e-06 0.32480726 0.33639256 1439516.1 0.047410737
0.26590339 0.55902152 20.653275 0.3809875 14.697875 1.4538804e-05 0.00053714199 6.1482385e-06 0.32478485 0.3363999 1438949.6 0.047142467
